jd_id,职位名,系统判定,判定理由,同意?(对/错),备注
ali:1203301,数据技术及产品部-大模型评测算法工程师-杭州/北京,True,大模型评测算法研发岗,,
gh-stripe:7913410,Fraud Patterns Analyst,True,金融科技数据分析岗，涉及AI风控,,
gh-databricks:8570003002,"Sr. Counsel, Product",True,AI与数据法律合规岗位,,
bd:7287839865756010807,商业产品广告增长运营实习生-国际化,True,广告增长运营，涉及数据分析与数字营销,,
anth:5394958008,Business Systems Analyst,True,AI公司业务系统分析岗,,
gh-jobs:4623572005,"Machine Learning Research Engineer, Enterprise ML Systems",True,LLM训练与强化学习算法研发岗,,
bd:7471213887980472583,NLP算法实习生-财经业务,True,大模型与RAG智能问答算法研发,,
bd:7476418175070210311,大模型策略规划师-抖音电商,True,大模型策略规划岗位,,
gh-jobs:4591300005,"Software Engineer, Gen AI",True,生成式AI数据引擎软件工程师,,
gh-jobs:5735493004,"Solutions Consultant (London, United Kingdom)",True,设计协作SaaS平台AI相关,,
bd:7516809943816325384,AIGC商业产品经理实习生-国际化,True,AIGC产品设计与开发,,
gh-togetherai:5214645007,"Staff Software Engineer, Inference / Compute Infrastructure Engineering",True,AI推理集群基础设施研发岗,,
gh-databricks:8517577002,Sr Production Engineer- Public Sector,True,数据与AI基础设施平台生产工程岗,,
gh-databricks:7647369002,Senior Software Engineer (Data Platform),True,数据平台与AI基础设施研发岗,,
bd:7457139686672320786,客户端开发实习生-财经业务,True,移动端软件开发岗，属数字技术领域,,
tx:2052684924506517504,混元大语言数据工程师（北京/深圳）,True,大模型数据工程岗,,
anth:5391787008,"Executive Support Senior Program Manager, Tech Advisor",True,Anthropic AI公司，涉及AI安全技术管理,,
bd:7674927185748166965,Node.js后端研发工程师（飞书文档） - 飞书,True,AI工作平台Node.js后端研发,,
51job:172998795,AI算法工程师,True,视觉AI算法研发岗,,
xhs:20389,产品工程师（协同办公方向）,True,AI智能工作台研发岗,,
bd:7472272254593452296,大模型算法实习生（数字人方向）-抖音直播,True,大模型与AIGC算法研发岗,,
bd:7470790337175439624,芯片物理实习生-芯片研发,True,芯片研发属AI数字技术岗位,,
gh-stripe:7230670,"Software Engineer, Data Orchestration",True,数据编排基础设施研发岗,,
gh-jobs:5687519004,Technical Learning Specialist,True,AI驱动的培训岗位,,
ali:100018840002,数据技术及产品部-AI数据处理工程师-数据工程,True,AI图像生成模型数据工程岗,,
bd:7430710756754573604,资源策略运营（绩效方向）-体验与服务,True,涉及数据分析和算法原理，属数字技术岗位,,
gh-scaleai:4591300005,"Software Engineer, Gen AI",True,生成式AI数据引擎软件工程岗,,
bd:7472310808804149522,后端开发实习生-Dev Platform,True,LLM及AI Agent平台研发,,
gh-databricks:8604598002,Finance Data and AI Lead,True,金融数据与AI技术岗,,
gh-jobs:5850497004,"Director, IT",True,IT与AI赋能结合的技术管理岗,,
gh-jobs:4597078005,"DevOps Engineer, Public Sector",True,DevOps与ML集成相关技术岗,,
bd:7532385383838959879,图大模型算法工程师-中国区广告业务,True,图大模型算法研发岗,,
boss:a3cde265e49c4a040nd-29y-GFpU,AI应用工程师,True,AI应用开发与落地岗位,,
vivo:M2078001134348967937,系统架构专家,True,操作系统内核架构研发岗,,
bd:7633755856546777349,机器学习平台存储研发工程师-Data AML,True,机器学习平台存储研发岗,,
gh-jobs:5237556004,Content Marketing Manager (Singapore),False,非AI技术岗位，为市场营销岗,,
gh-figma:6150563004,"Director, People Partners - Product, Design & Engineering",False,人力资源伙伴管理岗，非技术岗位,,
gh-stripe:8069155,"Manager, Administrative Coordinator Program",False,行政管理岗位，非AI/数字技术岗,,
bd:7670792223151900981,行业治理策略运营专家（耐消） - 抖音电商,False,电商运营治理岗，非AI技术岗位,,
gh-jobs:5739002004,GTM Strategy Manager ,False,偏商业战略与销售运营，非AI研发岗,,
gh-jobs:4950851004,Enterprise Specialist - Korean Speaking (Singapore),False,软件产品技术支持岗，非AI研发,,
gh-jobs:5116279004,"Technical Sourcer, ML/AI",False,招聘岗位，非AI技术岗,,
ali:100024940001,阿里控股-高级业务HR专员-AI方向,False,HR职能岗，非技术研发,,
tx:1425288895121072128,47243-海外电竞运营经理,False,电竞运营非AI技术岗,,
gh-stripe:7974211,"Risk Operations Analyst, Financial Crimes",False,金融犯罪风控运营岗，非AI技术岗,,
bd:7476421720586635527,创意设计实习生-抖音,False,视觉设计实习岗，非AI技术岗,,
bd:7186648017058236729,通用行业大客户销售经理-飞书,False,销售岗位，非AI研发岗,,
gh-jobs:5431304004,"UX Writer, Developer Tools (London, United Kingdom)",False,UX写作岗，非算法技术研发,,
vivo:M2003293438042226690,高级影像社区产品经理,False,社区产品运营岗，非AI技术岗,,
gh-stripe:8139998,"Product Analytics - Developer Experience, Bridge",False,数据分析岗，非AI研发,,
