event_id,日期,标题,事件类型,事实分级,技能提及,正确?(对/错),备注
wechat-mp:2247496885:2:e009,2026-07-18,LM Studio 发布 AI Agent 应用 Bionic,productization,fact,AI Agent; 编码; 文档处理; 离线语音转录,,
wechat-mp:unindexed:b6371042cf91:e005,2025-06-18,Anthropic Claude Web应用更新,productization,fact,Claude Code; Artifacts,,
wechat-mp:2247484001:1:e007,2025-04-04,谷歌发布Gemma 3 QAT量化模型,model_release,fact,量化感知训练; QAT; GGUF,,
wechat-mp:unindexed:b458b609b7e3:e008,2025-06-17,DeepInfra 上线 Claude 4 Opus 与 Sonnet 模型,productization,fact,API,,
wechat-mp:2247496624:1:e010,2026-06-18,Exa 推出高性价比 Web 研究 API Exa Agent,productization,fact,Web 研究; API 定价; token 高效技术,,
wechat-mp:2247496538:1:e004,2026-06-08,媒体报道 OpenAI 计划将 ChatGPT 改版为“超级应用”,rumor,report,AI Agent; 编程工具,,
wechat-mp:unindexed:fad1a833e4c3:e001,2025-05-05,Grok 3.5 或在基准测试中领先，获 Elon Musk 转发,rumor,report,,,
wechat-mp:unindexed:2cd015a90b84:e005,2025-10-10,OpenAI ChatGPT Go计划扩张至亚洲16国,productization,fact,,,
wechat-mp:2247496560:2:e017,2026-06-11,报道称字节跳动启动 AI 制药业务拆分与独立融资,rumor,report,AI4S,,
wechat-mp:unindexed:69d9c329a6fe:e007,2025-04-10,Anthropic推出Claude Max订阅计划并调整定价,productization,fact,,,
wechat-mp:unindexed:b6371042cf91:e010,2025-06-18,ICTNLP发布多模态模型Stream-Omni,model_release,fact,多模态; 语音交互; ASR,,
wechat-mp:2247495995:1:e003,2026-04-03,阶跃星辰上线 Step 3.5 Flash 2603 模型,model_release,fact,Coding; Agent 框架; 低推理模式,,
wechat-mp:2247483938:1:e004,2025-03-26,腾讯云与魔搭已上线 DeepSeek-V3-0324,adoption,fact,上下文窗口,,
wechat-mp:unindexed:4d92f83f4a03:e013,2025-08-16,阿里巴巴万相发布图像转视频模型 Wan2.2-I2V-Flash,model_release,fact,,,
wechat-mp:2247483893:1:e002,2025-03-23,秘塔AI推出文字转互动网页功能,productization,fact,,,
wechat-mp:2247484031:1:e001,2025-04-06,Meta 正式发布 Llama 4 系列模型,model_release,fact,混合专家（MoE）架构; 原生多模态; 长上下文,,
wechat-mp:unindexed:ed2819c18a9d:e001,2025-11-20,OpenAI发布GPT-5.1-Codex-Max编码模型,model_release,fact,Agentic coding; Compaction; 上下文窗口,,
wechat-mp:unindexed:9f59f389676d:e003,2025-05-23,OpenAI扩展Responses API功能，新增MCP支持,productization,fact,MCP; 智能体; 图像生成; Code Interpreter; 文件搜索,,
wechat-mp:unindexed:cfc26d1d44aa:e004,2026-01-17,Kilo 平台上线上线匿名推理模型 Giga Potato，具备 256k 超长上下文,model_release,report,推理模型; 长上下文,,
wechat-mp:unindexed:0f8c5ed29191:e004,2025-07-18,Mistral Le Chat 迎来重大更新，推出深度研究、语音模式等多项新功能,productization,fact,深度研究; 语音模式; 语音识别; 多语言推理; 图像编辑,,
wechat-mp:2247496033:2:e012,2026-04-08,Windsurf 宣布更新，优化计费透明度,productization,fact,,,
wechat-mp:unindexed:ceaa2197ea00:e029,2025-09-18,AI需求引爆存储涨价潮,adoption,fact,存储,,
wechat-mp:unindexed:85c288db13b2:e024,2025-06-12,PartCrafter：从单张图像生成结构化3D模型的新研究,research,fact,3D模型生成,,
wechat-mp:2247496199:2:e012,2026-04-29,支付宝正式上线 AI 收，个人开发者至 2026 年享零费率,productization,fact,AI,,
wechat-mp:unindexed:39f6ae0a351c:e007,2025-11-12,Kimi推出会员砍价活动,productization,fact,,,
wechat-mp:unindexed:86c7ea601f10:e001,2026-02-02,阿里 Qoder 发布 Qwen-Coder-Qoder 编程模型,model_release,fact,Agent; 强化学习; 软件工程,,
wechat-mp:unindexed:cb3db492227e:e002,2025-11-09,OpenRouter新增视频输入支持,productization,fact,视频输入; 无状态API,,
wechat-mp:2247484036:1:e004,2025-04-07,CVPR 2025 Highlight 论文介绍 UniReal：统一图像生成与编辑框架,research,fact,图像生成; 图像编辑; 视频生成,,
wechat-mp:2247496192:1:e012,2026-04-28,Gemini 应用新增文件生成能力，支持文档表格,productization,report,,,
wechat-mp:2247497186:1:e012,2026-08-15,广东首个Token贷发布，中国银行试单授信2800万元,policy,report,Token; 算力,,
