event_id,日期,标题,事件类型,事实分级,技能提及,正确?(对/错),备注
wechat-mp:unindexed:e27cd2d7a66f:e009,2025-05-09,微软禁止员工使用 DeepSeek 应用,policy,fact,,,
wechat-mp:2247483926:1:e001,2025-03-24,DeepSeek 上线并开源 DeepSeek-V3-0324,model_release,report,编程; 上下文; 工具调用,,
wechat-mp:unindexed:a7b78663fccd:e001,2025-08-05,阿里巴巴开源文生图模型Qwen-Image,model_release,fact,文生图; MMDiT; 文本渲染; 图像编辑,,
wechat-mp:2247495858:1:e005,2026-03-20,小红书 rednote-hilab 发布 dots.mocr，3B 参数支持图像转 SVG,model_release,report,OCR; SVG,,
wechat-mp:unindexed:567006416215:e001,2025-09-03,ETH等发布Apertus开源大模型,model_release,fact,,,
wechat-mp:2247484036:1:e004,2025-04-07,CVPR 2025 Highlight 论文介绍 UniReal：统一图像生成与编辑框架,research,fact,图像生成; 图像编辑; 视频生成,,
wechat-mp:unindexed:5bb280042ff6:e001,2026-02-09,Qwen 3.5系列模型即将发布,model_release,report,混合注意力机制,,
wechat-mp:2247496026:1:e004,2026-04-07,Claude Code 被发现禁止分析自身源代码,productization,report,,,
wechat-mp:2247496206:1:e007,2026-04-30,科大讯飞发布星火 X2-Flash，基于华为昇腾 910B 训练,model_release,fact,Agent; 代码能力,,
wechat-mp:unindexed:85c288db13b2:e014,2025-06-12,谷歌发布LiteRT-LM C++库,model_release,fact,,,
wechat-mp:unindexed:920fcb87ddff:e014,2026-02-12,Anthropic开放Claude免费版四项功能,productization,fact,,,
wechat-mp:unindexed:0d36415c5e7e:e004,2025-11-23,Meta 发布 WorldGen 文本生成 3D 世界系统,research,fact,程序化推理; 扩散式 3D 生成; 对象感知场景分解,,
wechat-mp:unindexed:179499d63337:e008,2025-07-23,Anthropic 研究发现“潜意识学习”：模型可通过隐藏信号传递行为特征，对 AI 对齐提出新挑战,research,fact,AI 对齐; 微调; 隐藏信号,,
feeds:agents-radar:829610739ac1:e011,2026-08-25,vLLM 调度器永久停止准入请求,research,fact,,,
wechat-mp:unindexed:82e3d814da56:e007,2025-05-02,Inception Labs 推出首个商用 Diffusion LLM API,productization,report,Diffusion LLM; 自回归,,
wechat-mp:unindexed:4b02dda57eef:e005,2025-09-30,智谱AI 即将发布 GLM-4.6 模型,rumor,report,,,
wechat-mp:unindexed:cb3db492227e:e007,2025-11-09,OpenAI澄清政府支持与贷款担保区别,policy,fact,,,
wechat-mp:unindexed:96e337328160:e007,2025-11-13,GitHub Copilot支持Agent特定指令,productization,fact,,,
feeds:mit-ai:1ca5d417c4ce:e003,2026-07-30,Daniela Rus 参与发明液体神经网络，用于高效自动驾驶,research,fact,liquid neural networks; control neurons,,
wechat-mp:2247496936:1:e005,2026-07-22,千问团队更新 Qwen3.8-Max-Preview，前端表现提升,model_release,fact,WebDev,,
feeds:agents-radar:c666e55d6998:e008,2026-08-24,CodeWhale 处于 gated 0.9.12 周期，无新发布,productization,fact,,,
wechat-mp:unindexed:ab038e0568e7:e005,2025-12-02,拍我AI发布PixVerse V5.5视频生成模型,model_release,fact,Diffusion; Transformer; 视频生成,,
wechat-mp:2247497146:2:e014,2026-08-11,ChatGPT 新增餐厅预订功能，首批面向美国和加拿大开放,productization,fact,,,
wechat-mp:unindexed:c390a81cabeb:e003,2025-04-16,Anthropic Claude集成Google Workspace并推出Research功能,productization,fact,AI聊天机器人,,
feeds:agents-radar:2c1296990eba:e009,2026-08-25,Ollama 新增 Qwen3.8-27B 支持并修复 Qwen3.8 相关回归问题,productization,fact,MLX; 工具调用,,
feeds:openai-news:74829ad55fb0:e001,2025-07-31,Figma 借助 AI 变革数字设计：Figma Make 等工具重塑团队工作流,productization,report,AI,,
wechat-mp:unindexed:354c5126b8f3:e017,2026-01-23,DeepMind招聘经济学家研究AGI经济,policy,fact,AGI,,
wechat-mp:unindexed:528d36cdd9b1:e003,2025-09-01,腾讯ARC开源AudioStory，LLM生成连贯长时叙事音频,open_source,fact,大语言模型; 音频生成; 端到端训练,,
wechat-mp:unindexed:d1ead689d49c:e002,2025-05-24,OpenAI 携手阿联酋 G42 打造全球最大 AI 数据中心，启动“星际之门”海外扩张,adoption,report,数据中心; 超算中心,,
wechat-mp:unindexed:5bfd5e6efcf6:e008,2025-08-14,Cursor 公告：Auto 模式不再免费，调整定价,productization,fact,,,
